"series","kind","title","begin","end","description","url"
"Scientists",2,"René Descartes","1596-03-31","1650-02-11","",""
"Scientists",2,"Isaac Newton","1643-01-04","1727-03-31","",""
"Scientists",2,"Galileo Galilei","1564-02-15","1642-01-08","",""
"Scientists",2,"Albert Eistein","1879-03-14","1955-04-18","",""
"Scientists",2,"Stephen Hawking","1942-01-08","","",""
"Scientists",2,"Johannes Kepler","1571-12-27","1630-11-15","",""
"Scientists",2,"Nicolaus Copernicus","1473-02-19","1543-05-24","",""
"Scientists",2,"Tycho Brahe","1546-12-14","1601-10-24","",""
"Scientists",2,"Charles Darwin","1809-02-12","1882-04-19","",""
"Scientists",2,"Gregor Mendel","1822-05-20","1884-01-06","",""
"Scientists",2,"Louis Pasteur","1822-12-27","1895-09-28","",""
"Scientists",2,"Alexander Graham Bell","1847-03-03","1922-08-02","",""
"Scientists",2,"Nikola Tesla","1856-07-10","1943-01-07","",""
"Scientists",2,"Thomas Edison","1847-02-11","1931-10-31","",""
"Scientists",2,"Michael Faraday","1791-09-22","1867-08-25","",""
"Scientists",2,"James Maxwell","1831-06-13","1879-11-05","",""
"Scientists",2,"Heinrich Hertz","1857-02-22","1894-01-01","",""
"Scientists",2,"Gottfried Leibniz","1646-07-01","1716-11-14","",""
"Scientists",2,"Pierre de Fermat","1601-08-17","1665-01-12","",""
"Scientists",2,"Blaise Pascal","1623-06-19","1662-08-19","",""
"Scientists",2,"Leonhard Euler","1707-04-15","1783-09-18","",""
"Scientists",2,"Friedrich Gauss","1777-04-30","1855-02-23","",""
"Scientists",2,"Bernhard Riemann","1826-09-17","1866-07-20","",""
"Scientists",2,"Évariste Galois","1811-10-25","1832-05-31","",""
"Scientists",2,"Pierre-Simon Laplace","1749-03-23","1827-03-05","",""
"Scientists",2,"Siméon Poisson","1781-06-21","1840-04-25","",""
"Scientists",2,"Marie Curie","1867-11-07","1934-07-04","",""
"Scientists",2,"Alan Turing","1912-06-23","1954-06-07","",""
"Scientists",2,"Leonardo da Vinci","1452-04-15","1519-05-02","",""
"Scientists",2,"Michelangelo","1475-03-06","1564-02-18","",""
"Scientists",2,"Charles Babbage","1791-12-26","1871-10-18","",""
"Scientists",2,"George Boole","1815-11-02","1864-12-08","",""
"Scientists",2,"Augustus De Morgan","1806-06-27","1871-03-18","",""
"Scientists",2,"Bertrand Russell","1872-05-18","1970-02-02","",""
"Scientists",2,"John Napier","1550","1617-04-04","",""
"Scientists",2,"Daniel Bernoulli","1700-02-08","1782-03-17","",""
"Scientists",2,"Edmond Halley","1656-11-08","1742-01-14","",""
"Scientists",2,"Robert Hooke","1635-07-28","1703-03-03","",""
"Scientists",2,"Christiaan Huygens","1629-04-14","1695-07-08","",""
"Inventions",2,"Charles Goodyear","1800-12-29","1860-07-01","",""
"Inventions",1,"Vulcanized rubber","1844-06-15","","Rubber, so named because it could erase pencil writing, had long been considered a waterproofing agent, but in its natural state, it melted in hot weather and froze solid in the cold. After ten years of tireless work and abject poverty, Charles Goodyear perfects his process for "vulcanizing" rubber, or combining it with sulfur to create a soft, pliable substance unaffected by weather. Patented on June 15, 1844.","http://www.ideafinder.com/history/Inventions/goodyear.htm"
"Inventions",2,"John Boyd Dunlop","1840-02-05","1921-10-23","",""
"Inventions",1,"Pneumatic Tire","1888-12-07","","In 1887, John Dunlop developed the first practical pneumatic tire for his son's tricycle, tested it, and patented it on December 7, 1888. Dunlop’s development of the pneumatic tire arrived at a crucial time in the development of road transportation. Commercial production began in late 1890 in Belfast, Ireland. Dunlop partnered with William Du Cros to form a company that would later become the Dunlop Rubber Company.","http://www.ideafinder.com/history/inventions/pneumatictire.htm"
"Inventions",1,"Internal combustion engine","1807","","",""
"Inventions",2,"Karl Benz","1844-11-25","1929-04-04","",""
"Inventions",1,"Automobile","1886-01-29","","First *Motorwagen* built by Karl Benz.","https://en.wikipedia.org/wiki/Car"
"Inventions",2,"Alberto Santos-Dumont","1873-07-20","1932-07-23","",""
"Inventions",1,"First flight of the 14-Bis","1906-10-23","","",""
"Brazil",1,"Execution of Tiradentes","1792-04-21","","",""
"Brazil",1,"Arrival of João VI in Rio de Janeiro","1808-03-07","","",""
"Brazil",1,"Declaration of independence","1822-09-07","","",""
"Brazil",1,"Princess Isabel signs the Lei Áurea","1888-05-13","","",""
"Brazil",2,"Pedro I","1822-10-12","1831-04-07","",""
"Brazil",2,"Pedro II","1831-04-07","1889-11-15","",""
"Brazil",1,"Republic proclaimed","1889-11-15","","",""
"Brazil",1,"Coronation of Pedro II","1841-07-18","","",""
"Brazil",2,"War of the Triple Alliance","1864","1870","",""
